"etuus";"vuosi";"aikatyyppi";"viikko";"paiva";"viikonpaiva";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-03";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1566";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-04";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1491";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-05";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1311";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-06";"torstai";"Koko Suomi";"kaikki";"kaikki";"1033";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-07";"perjantai";"Koko Suomi";"kaikki";"kaikki";"876";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-08";"lauantai";"Koko Suomi";"kaikki";"kaikki";"209";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"6";"2020-02-09";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"367";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-08";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1507";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-09";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1485";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-10";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1416";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-11";"torstai";"Koko Suomi";"kaikki";"kaikki";"1177";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-12";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1032";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-13";"lauantai";"Koko Suomi";"kaikki";"kaikki";"198";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"6";"2021-02-14";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"354";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-07";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1416";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-08";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1140";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-09";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1145";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-10";"torstai";"Koko Suomi";"kaikki";"kaikki";"974";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-11";"perjantai";"Koko Suomi";"kaikki";"kaikki";"668";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-12";"lauantai";"Koko Suomi";"kaikki";"kaikki";"169";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"6";"2022-02-13";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"313";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-06";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1380";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-07";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1263";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-08";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1378";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-09";"torstai";"Koko Suomi";"kaikki";"kaikki";"1061";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-10";"perjantai";"Koko Suomi";"kaikki";"kaikki";"958";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-11";"lauantai";"Koko Suomi";"kaikki";"kaikki";"95";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"6";"2023-02-12";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"292";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-10";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1361";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-11";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1074";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-12";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1088";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-13";"torstai";"Koko Suomi";"kaikki";"kaikki";"931";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-14";"perjantai";"Koko Suomi";"kaikki";"kaikki";"789";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-15";"lauantai";"Koko Suomi";"kaikki";"kaikki";"295";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"7";"2020-02-16";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"151";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"7";"2021-02-15";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1585";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"7";"2021-02-16";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1397";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"7";"2021-02-17";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1197";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"7";"2021-02-18";"torstai";"Koko Suomi";"kaikki";"kaikki";"1023";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"7";"2021-02-19";"perjantai";"Koko Suomi";"kaikki";"kaikki";"848";"2023/11/20 12:10:23"
