alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Kymenlaakso;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;285;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;235;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;6277;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4305;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;308;Saajat
Lappi;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;243;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4752;Saajat
Lappi;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;3158;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;1110;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;811;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;20951;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;14272;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;302;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;188;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4502;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;2665;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;332;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;257;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;6012;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4129;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;807;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;584;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;11408;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;7706;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;487;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;368;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;9483;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;6476;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;444;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;367;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;9623;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;6517;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;343;Saajat
Satakunta;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;273;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;5433;Saajat
Satakunta;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;3831;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;3335;Saajat
Uusimaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;2566;Saajakotitaloudet
