etuus;vuosi;kuukausi;paiva;alue;variable;val
Yleinen asumistuki;2019;8;2019-08-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";15081
Yleinen asumistuki;2019;8;2019-08-01;Päijät-Häme;uudet saajaruokakunnat;261
Yleinen asumistuki;2019;8;2019-08-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";12825
Yleinen asumistuki;2019;8;2019-08-01;Satakunta;uudet saajaruokakunnat;259
Yleinen asumistuki;2019;8;2019-08-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";10402
Yleinen asumistuki;2019;8;2019-08-01;Uusimaa;uudet saajaruokakunnat;2490
Yleinen asumistuki;2019;8;2019-08-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";114371
Yleinen asumistuki;2019;8;2019-08-01;Varsinais-Suomi;uudet saajaruokakunnat;707
Yleinen asumistuki;2019;8;2019-08-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";30315
Yleinen asumistuki;2019;9;2019-09-01;Etelä-Karjala;uudet saajaruokakunnat;442
Yleinen asumistuki;2019;9;2019-09-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";7789
Yleinen asumistuki;2019;9;2019-09-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;335
Yleinen asumistuki;2019;9;2019-09-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";7093
Yleinen asumistuki;2019;9;2019-09-01;Etelä-Savo;uudet saajaruokakunnat;259
Yleinen asumistuki;2019;9;2019-09-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";6845
Yleinen asumistuki;2019;9;2019-09-01;Kainuu;uudet saajaruokakunnat;180
Yleinen asumistuki;2019;9;2019-09-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3461
Yleinen asumistuki;2019;9;2019-09-01;Kanta-Häme;uudet saajaruokakunnat;330
