etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;viikko;5;Pohjois-Karjala;kaikki;kaikki;349;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Pohjois-Pohjanmaa;kaikki;kaikki;631;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Pohjois-Savo;kaikki;kaikki;482;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Päijät-Häme;kaikki;kaikki;339;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Satakunta;kaikki;kaikki;290;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Uusimaa;kaikki;kaikki;2585;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Varsinais-Suomi;kaikki;kaikki;607;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Etelä-Karjala;kaikki;kaikki;159;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Etelä-Pohjanmaa;kaikki;kaikki;238;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Etelä-Savo;kaikki;kaikki;176;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Kainuu;kaikki;kaikki;80;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Kanta-Häme;kaikki;kaikki;250;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Keski-Pohjanmaa;kaikki;kaikki;64;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Keski-Suomi;kaikki;kaikki;389;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;5;Kymenlaakso;kaikki;kaikki;182;2021/07/01 10:04:09
